target,cluster
company,5
regulation,1
corporate regulation,5
regulation corporation,1
food label,5
`` natural labeling,5
healthy,5
natural,5
use word,5
natural labor,5
use word natural,5
food product labelling,5
natural,5
big bank,5
business,5
economic bailouts,1
stability economy,5
company management,5
control,5
wealth,5
bank,5
economy,1
royal couple,5
royal,5
royalty,5
royal extravagance,5
royal public relation,5
modern family,5
royal pr,5
royal medium exposure,5
mass medium,5
prostitution,2
sex industry,5
violence,5
violence,5
prostitution,2
rim,5
nba,6
raising rim,5
basketball,0
affirmative action,5
mexican immigrant,4
mexican,6
mexico,6
affirmative action,5
economic,1
grade college,0
education,0
identify failing k 12 school,5
k 12 school,0
marijuana,2
cannabis,2
cannabis use,2
gateway drug,2
medical marijuana,2
medical marijuana,2
pain management,5
electric car,5
electric rate,5
plugin car,5
tfa,6
teacher qualification,0
teach america,6
qualified teacher,0
status teacher,0
teacher pay,0
tfa,6
teach america,6
trained teacher,0
prostitution,2
prostitution,2
prostitution legalization,2
every known human society,5
capital gain,5
economic growth,5
tax elimination,1
tax,1
economic stimulus,1
cat,5
declawing cat,1
nail removal,5
cat,5
company,5
capitalism,1
private corporation profit,5
private corporation making profit regardless consequence,5
foreign language class,5
language,5
language learning,5
mandatory college,0
learning language important,5
learning language,5
learning another language,5
american society,6
latin helpful language,5
opioid training,5
opioid abuse,2
modern medicine,5
school librarian,0
teacher,0
library,0
childhood memory school librarian,0
ritual adult life,5
economic climate,1
economic hardship,1
economy,1
young people,5
parent,0
personal accountability,5
economy,1
gateway drug,2
marijuana,2
mj,6
opiate,2
overdose,2
marijuana,2
mj,6
opiate,2
marijuana effect,2
company,5
government,1
big business,5
kid,0
medical insurance,1
mandated curriculum,0
tax,1
education,0
attitude towards society,5
greater success,5
young people,5
invention,5
enlightenment,5
renaissance,5
altruistic thinking,5
hedonism,5
life short,5
medical website,5
doctor,5
doctor,5
elite,5
bar,5
attorney,5
law school,0
law school,0
attorney,5
law school,0
land,5
flood,5
privatize access shore line,5
private shore line,5
public assistance,5
disaster relief,5
beachfront home,5
public access,5
private shore,5
capital gain,5
capital gain,5
government,1
cat,5
pet cat,5
declaw,1
cat,5
mother teresa,5
religion prosecution,1
catholic america,6
catholic criminality,1
crime,5
catholic hypocrisy,1
palestinian state,6
palestine,6
nation,5
israel,6
palestinian statehood,6
israel,6
illegal labor,1
salary,0
illegal labor,1
legal worker,5
legal employed,5
illegal worker,5
salary raised,5
legal worker,5
farm,5
farm laborer,5
automation,5
farm robot,5
farm automation,5
illegal labor,1
automation farming,5
imported farm labourer,5
same sex college,0
phd degree,0
college,0
veganism,3
vegan,3
nutrition,5
veganism,3
everyone,5
veganism,3
veganism,3
vegan sport,5
athlete,0
mike tyson,6
legitimate threat,5
soil fertility,5
farm,5
overcrowding,5
fertility soil,5
overuse petrochemical fertilizer,5
u.s,6
embargo,1
us cuban relation,5
improving cuban usa relationship,5
diplomatic relation,5
cuban/usa mutual relationship,5
sanction,5
climate change,5
country working together climate change issue,5
trading embargo,1
people,5
ignorance,5
education,0
grade college,0
profit college,0
federal loan,5
people,5
contraception,1
intelligence,5
intelligence,5
high tech versus wisdom,5
high speed rail,5
transportation,5
public transportation,5
us budget,5
investing arm war,5
war,1
infrastructure,5
cost war,5
wealth,5
war,1
control,5
bank,5
bank,5
bail,5
big bank,5
bank,5
mandatory child,0
vaccination,1
vaccination,1
vaccination,1
anti vax,1
obamacare,1
political division,5
republican,1
republican,1
obstructionism,1
extreme parenting,5
perfectionism,5
demand parent,5
anxiety,5
parent,0
educational vacation time,5
teach,0
family,5
vacation,5
family vacation,5
teach,0
people,5
population,5
survival skill poorly educated,5
educational standard,5
dual citizenship,1
citizenship,4
dual citizenship,1
woman,5
home birth,5
home birth,5
doula,1
kid home,0
home birth,5
home birth,5
midwife,1
vaccination,1
vaccination,1
health,5
mandatory child,0
vaccination,1
vaccination choice,1
freedom choice,5
u.s. embassy,6
usa embassy,6
usa embassy 's support israel,6
right israel,6
jerusalem,6
israel,6
